Designator,Mid X,Mid Y,Rotation,Layer
R6_5,17.93,-33.13,270.0,bottom
R6_4,17.93,-62.33,270.0,bottom
R6_3,38.13,-33.13,270.0,bottom
R6_2,58.33,-33.13,270.0,bottom
R6,58.33,-62.33,270.0,bottom
SW1_6,44.95,-25.4,0.0,top
SW1_5,65.15,-54.6,0.0,top
SW1_4,44.95,-54.6,0.0,top
SW1_3,65.15,-25.4,0.0,top
SW1_2,24.75,-25.4,0.0,top
SW1,24.75,-54.6,0.0,top
U1_6,39.285,-20.355,90.0,top
U1_5,19.085,-49.555,90.0,top
U1_4,39.285,-49.555,90.0,top
U1_3,59.485,-20.355,90.0,top
U1_2,19.085,-20.355,90.0,top
U1,59.485,-49.555,90.0,top
U2_6,39.1375,-27.56,90.0,top
U2_5,18.9375,-27.56,90.0,top
U2_4,39.1375,-56.76,90.0,top
U2_3,59.3375,-27.56,90.0,top
U2_2,18.9375,-56.76,90.0,top
U2,59.3375,-56.76,90.0,top
U3_6,20.3,-25.4,90.0,bottom
U3_5,60.7,-25.4,90.0,bottom
U3_4,40.5,-54.6,90.0,bottom
U3_3,60.7,-54.6,90.0,bottom
U3_2,20.3,-54.6,90.0,bottom
U3,40.5,-25.4,90.0,bottom
U4_6,20.07,-32.606117,90.0,top
U4_5,60.47,-32.606117,90.0,top
U4_4,40.27,-32.606117,90.0,top
U4_3,20.07,-61.806117,90.0,top
U4_2,40.27,-61.806117,90.0,top
U4,60.47,-61.806117,90.0,top
Y1_6,42.94,-50.8,270.0,top
Y1_5,42.94,-21.6,270.0,top
Y1_4,63.14,-21.6,270.0,top
Y1_3,22.74,-50.8,270.0,top
Y1_2,22.74,-21.6,270.0,top
Y1,63.14,-50.8,270.0,top
