:42
C1:6
C10:6
C11:6
C12:6
C13:6
C14:6
C15:6
C16:6
C17:6
C18:6
C19:6
C2:6
C3:6
C4:6
C5:6
C6:6
C7:6
C8:6
C9:6
D1:6
D6:6
G***:1
J1:6
J2:6
J3:6
J4:6
KIKIT_FID_B_1:1
KIKIT_FID_B_2:1
KIKIT_FID_B_3:1
KIKIT_FID_B_4:1
KIKIT_FID_T_1:1
KIKIT_FID_T_2:1
KIKIT_FID_T_3:1
KIKIT_FID_T_4:1
KIKIT_TO_1:1
KIKIT_TO_2:1
KIKIT_TO_3:1
KIKIT_TO_4:1
NT1:6
NT10:6
NT11:6
NT12:6
NT13:6
NT2:6
NT3:6
NT4:6
NT5:6
NT6:6
NT7:6
NT8:6
NT9:6
R1:6
R10:6
R11:6
R4:6
R6:6
REF**:82
SW1:6
U1:6
U2:6
U3:6
U4:6
Y1:6
